    14.5   139.5
    0.0   28.6   34.4
    5.0   28.6   34.4
   10.0   28.6   34.4
   15.0   28.5   34.4
   20.0   28.5   34.4
   25.0   28.5   34.4
   30.0   28.5   34.4
   35.0   28.5   34.4
   40.0   28.4   34.5
   45.0   28.4   34.5
   50.0   28.3   34.5
   55.0   28.2   34.5
   60.0   28.1   34.6
   65.0   28.0   34.6
   70.0   27.9   34.6
   75.0   27.7   34.7
   80.0   27.6   34.7
   85.0   27.5   34.7
   90.0   27.3   34.8
   95.0   27.1   34.8
  100.0   26.9   34.9
  125.0   25.7   35.0
  150.0   24.1   35.1
  175.0   22.1   35.1
  200.0   20.1   35.0
  225.0   18.3   34.9
  250.0   16.5   34.7
  275.0   15.0   34.6
  300.0   13.6   34.5
  325.0   12.4   34.4
  350.0   11.3   34.3
  375.0   10.3   34.3
  400.0    9.5   34.3
  425.0    8.9   34.3
  450.0    8.4   34.3
  475.0    7.9   34.3
  500.0    7.6   34.3
  550.0    7.0   34.4
  600.0    6.6   34.4
  650.0    6.1   34.4
  700.0    5.8   34.5
  750.0    5.5   34.5
  800.0    5.2   34.5
  850.0    4.9   34.5
  900.0    4.7   34.5
  950.0    4.5   34.5
 1000.0    4.3   34.5
 1050.0    4.1   34.5
 1100.0    4.0   34.6
 1150.0    3.8   34.6
 1200.0    3.7   34.6
 1250.0    3.5   34.6
 1300.0    3.4   34.6
 1350.0    3.2   34.6
 1400.0    3.1   34.6
 1450.0    3.0   34.6
 1500.0    2.9   34.6
 1550.0    2.8   34.6
 1600.0    2.7   34.6
 1650.0    2.6   34.6
 1700.0    2.5   34.6
 1750.0    2.4   34.6
 1800.0    2.4   34.6
 1850.0    2.3   34.6
 1900.0    2.2   34.6
 1950.0    2.2   34.6
 2000.0    2.1   34.6
 2100.0    2.0   34.6
 2200.0    1.9   34.6
 2300.0    1.8   34.6
 2400.0    1.8   34.6
 2500.0 -999.0 -999.0
 2600.0 -999.0 -999.0
 2700.0 -999.0 -999.0
 2800.0 -999.0 -999.0
 2900.0 -999.0 -999.0
 3000.0 -999.0 -999.0
 3100.0 -999.0 -999.0
 3200.0 -999.0 -999.0
 3300.0 -999.0 -999.0
 3400.0 -999.0 -999.0
 3500.0 -999.0 -999.0
 3600.0 -999.0 -999.0
 3700.0 -999.0 -999.0
 3800.0 -999.0 -999.0
 3900.0 -999.0 -999.0
 4000.0 -999.0 -999.0
 4100.0 -999.0 -999.0
 4200.0 -999.0 -999.0
 4300.0 -999.0 -999.0
 4400.0 -999.0 -999.0
 4500.0 -999.0 -999.0
 4600.0 -999.0 -999.0
 4700.0 -999.0 -999.0
 4800.0 -999.0 -999.0
 4900.0 -999.0 -999.0
 5000.0 -999.0 -999.0
 5100.0 -999.0 -999.0
 5200.0 -999.0 -999.0
 5300.0 -999.0 -999.0
 5400.0 -999.0 -999.0
 5500.0 -999.0 -999.0
