    28.5   179.5
    0.0   23.4   35.1
    5.0   23.4   35.1
   10.0   23.3   35.1
   15.0   23.3   35.1
   20.0   23.1   35.1
   25.0   23.0   35.1
   30.0   22.7   35.1
   35.0   22.5   35.1
   40.0   22.1   35.0
   45.0   21.7   35.0
   50.0   21.3   35.0
   55.0   20.9   35.0
   60.0   20.6   35.0
   65.0   20.2   34.9
   70.0   19.9   34.9
   75.0   19.6   34.9
   80.0   19.4   34.9
   85.0   19.1   34.9
   90.0   18.9   34.8
   95.0   18.6   34.8
  100.0   18.4   34.8
  125.0   17.5   34.8
  150.0   16.7   34.7
  175.0   16.2   34.7
  200.0   15.7   34.7
  225.0   15.2   34.6
  250.0   14.7   34.6
  275.0   14.2   34.5
  300.0   13.7   34.5
  325.0   13.2   34.5
  350.0   12.7   34.4
  375.0   12.2   34.4
  400.0   11.7   34.3
  425.0   11.1   34.3
  450.0   10.6   34.2
  475.0   10.0   34.2
  500.0    9.5   34.2
  550.0    8.3   34.1
  600.0    7.2   34.0
  650.0    6.4   34.0
  700.0    5.6   34.0
  750.0    5.1   34.1
  800.0    4.7   34.1
  850.0    4.4   34.2
  900.0    4.0   34.2
  950.0    3.8   34.3
 1000.0    3.7   34.3
 1050.0    3.5   34.3
 1100.0    3.3   34.4
 1150.0    3.2   34.4
 1200.0    3.1   34.4
 1250.0    3.0   34.5
 1300.0    2.9   34.5
 1350.0    2.8   34.5
 1400.0    2.7   34.5
 1450.0    2.6   34.5
 1500.0    2.5   34.5
 1550.0    2.4   34.5
 1600.0    2.3   34.6
 1650.0    2.3   34.6
 1700.0    2.2   34.6
 1750.0    2.2   34.6
 1800.0    2.1   34.6
 1850.0    2.1   34.6
 1900.0    2.0   34.6
 1950.0    2.0   34.6
 2000.0    2.0   34.6
 2100.0    1.9   34.6
 2200.0    1.8   34.6
 2300.0    1.8   34.6
 2400.0    1.8   34.6
 2500.0    1.7   34.6
 2600.0    1.7   34.6
 2700.0    1.7   34.6
 2800.0    1.6   34.7
 2900.0    1.6   34.7
 3000.0    1.5   34.7
 3100.0    1.5   34.7
 3200.0    1.5   34.7
 3300.0    1.5   34.7
 3400.0    1.5   34.7
 3500.0    1.5   34.7
 3600.0    1.5   34.7
 3700.0    1.5   34.7
 3800.0    1.5   34.7
 3900.0    1.5   34.7
 4000.0    1.5   34.7
 4100.0    1.5   34.7
 4200.0    1.5   34.7
 4300.0    1.5   34.7
 4400.0    1.5   34.7
 4500.0    1.5   34.7
 4600.0    1.5   34.7
 4700.0    1.5   34.7
 4800.0    1.5   34.7
 4900.0    1.5   34.7
 5000.0    1.5   34.7
 5100.0    1.5   34.7
 5200.0    1.5   34.7
 5300.0    1.5   34.7
 5400.0 -999.0 -999.0
 5500.0 -999.0 -999.0
